,Region,Residence Type,Family Composition,Population Base,Sex,Age,Marital Status,Student,Country of Birth,Health,Ethnic Group,Religion,Economic Activity,Occupation,Industry,Hours worked per week,Approximated Social Grade
216,0,0,2,0,1,4,1,1,1,2,1,2,1,6,11,4,3
217,5,0,3,0,1,0,0,1,1,1,1,2,0,0,0,0,0
218,3,0,4,0,0,0,0,0,1,1,1,1,0,0,0,0,0
219,4,0,2,0,0,0,0,0,1,1,1,2,0,0,0,0,0
220,4,0,2,0,0,2,1,1,1,1,1,1,1,7,4,2,2
221,2,0,2,0,1,3,1,1,1,2,1,2,1,6,6,3,2
222,2,0,2,0,0,5,1,1,1,2,1,2,7,7,4,0,4
223,2,0,5,0,1,4,0,1,2,2,4,2,1,4,8,3,2
224,2,0,2,0,0,5,1,1,1,2,1,2,1,2,10,3,1
225,5,0,2,0,0,4,1,1,1,1,1,2,1,5,2,3,3
226,5,0,3,0,1,0,0,1,1,2,1,1,0,0,0,0,0
227,0,0,2,0,0,0,0,0,1,3,1,2,0,0,0,0,0
228,5,0,1,0,1,5,4,1,1,2,1,2,1,3,4,3,2
229,5,0,3,0,0,4,0,1,1,1,1,1,1,8,6,3,1
230,2,0,2,0,0,1,0,0,1,2,1,1,4,0,0,0,2
231,5,0,1,0,1,7,4,1,1,2,4,2,5,5,4,0,4
232,1,0,2,0,1,5,1,1,1,2,1,2,5,2,10,0,1
233,0,0,1,0,0,4,3,1,1,4,1,2,8,9,11,0,4
234,1,0,1,0,1,4,0,1,1,1,1,2,3,9,9,0,4
235,2,0,1,0,0,2,0,1,2,1,1,2,3,6,10,0,4
236,1,0,1,0,1,1,0,0,1,2,1,1,4,1,5,2,2
237,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
238,1,0,2,0,1,6,1,1,1,1,1,2,5,7,4,0,2
239,4,0,2,0,0,4,1,1,1,2,1,1,1,8,3,2,2
240,2,0,1,0,1,0,0,0,1,1,1,2,0,0,0,0,0
241,2,0,1,0,0,7,4,1,1,2,1,2,5,5,4,0,3
242,0,0,2,0,1,6,0,1,1,2,1,2,5,6,10,0,4
243,1,0,2,0,0,3,1,1,2,1,1,1,1,5,2,3,3
244,5,0,4,0,0,5,3,1,2,2,3,4,1,0,0,3,4
245,3,0,3,0,1,0,0,0,1,1,1,9,0,0,0,0,0
246,2,0,2,0,1,6,1,1,1,2,1,2,5,9,2,0,4
247,4,0,4,0,1,2,0,1,1,2,1,2,1,2,11,3,1
248,5,0,2,0,1,5,1,1,1,2,1,2,5,9,4,0,4
249,1,0,1,0,0,1,0,1,2,3,4,6,1,3,10,2,2
250,0,0,2,0,1,7,1,1,1,2,1,9,1,0,0,2,4
251,2,0,5,0,0,5,3,1,1,4,1,2,5,1,2,0,4
252,5,0,2,0,0,3,1,1,2,4,1,2,1,5,5,1,3
253,3,0,3,0,1,0,0,0,1,2,1,2,0,0,0,0,0
254,3,0,2,0,1,4,1,1,1,2,1,2,2,8,2,4,4
255,1,0,2,0,0,5,1,1,1,2,1,2,1,5,4,3,3
256,0,0,1,0,0,0,0,0,1,1,1,2,0,0,0,0,0
257,0,0,2,0,1,2,1,1,1,1,1,2,1,2,11,3,1
258,1,0,1,0,0,5,4,1,1,2,1,2,1,8,2,4,4
259,2,0,2,0,1,4,1,1,1,1,1,2,1,7,2,1,1
260,3,0,5,0,0,0,0,0,1,1,1,2,0,0,0,0,0
261,5,0,2,0,0,6,1,1,1,3,1,2,5,3,2,0,2
262,1,0,2,0,0,5,1,1,1,2,1,2,5,0,0,0,4
263,4,0,2,0,0,0,0,0,1,1,1,2,0,0,0,0,0
264,1,0,5,0,1,0,0,1,1,1,1,5,0,0,0,0,0
265,3,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0
266,2,0,2,0,1,5,1,1,1,3,1,9,1,3,9,2,1
267,2,0,2,0,0,2,0,1,1,1,1,2,1,2,10,3,1
268,0,0,2,0,1,0,0,1,1,1,1,2,0,0,0,0,0
269,2,0,2,0,1,6,1,1,1,2,1,2,5,0,0,0,4
270,4,0,2,0,1,4,1,1,1,3,1,2,1,2,11,2,2
271,5,0,5,0,1,2,0,1,1,2,1,2,1,4,9,3,2
272,5,0,4,0,0,1,0,0,1,2,1,1,6,5,2,0,2
273,5,0,5,0,1,3,2,1,1,2,1,2,1,7,8,3,4
274,5,0,2,0,0,5,1,1,1,2,1,2,1,0,0,1,4
275,3,0,0,0,1,3,0,1,1,1,1,2,1,9,3,3,4
276,5,0,2,0,1,0,0,0,1,1,1,2,0,0,0,0,0
277,0,0,2,0,1,2,0,1,1,1,1,2,1,2,10,2,1
278,5,0,2,0,0,3,1,1,1,2,1,2,7,7,2,0,4
279,2,0,1,0,1,0,0,1,1,1,1,2,0,0,0,0,0
280,5,0,2,0,1,7,1,1,1,1,1,2,5,9,6,0,4
281,3,0,3,0,0,0,0,0,2,1,3,6,0,0,0,0,0
282,2,0,4,0,1,3,2,1,1,2,1,9,2,6,12,4,4
283,1,0,2,0,0,4,1,1,2,3,3,6,1,3,6,2,2
284,5,0,5,0,1,0,0,0,1,1,1,1,0,0,0,0,0
285,5,0,2,0,0,5,1,1,1,1,1,2,1,4,9,3,2
286,4,0,1,0,0,2,0,1,1,2,1,2,1,2,11,3,1
287,2,0,1,0,0,5,1,1,1,2,1,2,3,5,8,0,3
288,3,0,1,0,1,5,3,1,1,1,1,2,1,8,2,4,4
289,4,0,1,0,1,6,4,1,1,2,1,2,5,4,0,0,4
290,2,0,2,0,1,6,1,1,1,3,1,1,5,4,7,0,3
291,0,0,4,0,0,4,0,1,1,5,1,2,2,9,5,3,4
292,0,0,4,0,0,3,3,1,1,1,1,2,1,7,4,2,2
293,5,0,3,0,0,1,0,1,1,2,1,9,3,5,3,0,4
294,2,0,2,0,0,0,0,1,1,1,1,9,0,0,0,0,0
295,4,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
296,2,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0
297,3,0,2,0,0,7,1,1,1,5,1,2,5,9,2,0,4
298,5,0,2,0,0,3,1,1,1,3,1,2,1,7,4,3,4
299,5,0,3,0,0,0,0,1,1,1,1,2,0,0,0,0,0
300,2,0,5,0,0,2,0,1,1,2,1,2,2,9,5,3,4
301,4,0,1,0,0,3,0,1,1,2,1,2,3,9,6,0,4
302,3,0,3,0,0,0,0,0,1,1,1,1,0,0,0,0,0
303,3,0,2,0,0,1,0,1,2,2,3,6,7,5,3,0,3
304,0,0,2,0,0,2,0,0,1,3,1,2,4,4,11,1,2
305,2,0,5,0,1,2,3,1,1,2,1,2,1,9,2,3,4
306,2,0,3,0,1,4,0,1,1,4,1,9,1,7,4,2,4
307,5,0,2,0,1,6,1,1,2,2,1,2,1,0,0,2,2
308,0,0,3,0,1,2,0,1,1,2,1,2,1,6,8,3,3
309,5,0,2,0,0,2,1,1,1,1,1,2,3,8,6,0,4
310,5,0,5,0,1,1,0,1,1,2,1,1,1,6,11,3,4
311,0,0,2,0,0,3,1,1,1,4,1,2,2,5,3,1,3
312,2,0,1,0,0,3,0,1,1,1,1,1,1,6,11,3,3
313,2,0,1,0,0,5,3,1,1,2,1,2,1,0,0,2,4
314,3,0,2,0,1,4,1,1,1,3,2,7,1,2,2,3,1
315,0,0,2,0,1,1,0,0,1,1,1,1,6,4,8,0,2
316,3,0,2,0,1,7,0,1,1,2,1,9,5,7,7,0,2
317,4,0,2,0,1,5,1,1,1,1,1,2,5,4,12,0,1
318,3,0,1,0,0,0,0,0,1,1,1,2,0,0,0,0,0
319,2,0,2,0,0,4,1,1,1,4,1,2,9,3,4,0,2
320,5,0,2,0,1,4,1,1,1,1,1,2,1,6,4,3,3
321,2,0,2,0,0,4,1,1,1,1,1,2,1,1,4,3,1
322,4,0,2,0,1,6,1,1,1,2,1,2,5,2,2,0,1
323,5,0,2,0,0,4,1,1,1,2,1,1,1,7,4,1,2
324,1,0,5,0,0,0,0,0,1,1,1,2,0,0,0,0,0
325,2,0,2,0,0,3,1,1,1,1,3,6,1,8,2,1,4
326,3,0,1,0,1,7,4,1,1,2,1,9,5,7,4,0,4
327,2,0,3,0,0,1,0,0,1,2,1,9,6,2,8,0,2
328,2,0,2,0,1,7,1,1,1,3,1,9,5,8,2,0,4
329,0,0,2,0,1,3,0,1,1,2,1,2,3,7,4,0,4
330,5,0,1,0,1,3,0,1,1,4,1,2,8,5,4,0,3
331,0,0,2,0,0,4,1,1,1,2,1,1,1,5,3,2,3
332,5,0,2,0,0,5,1,1,1,2,1,1,1,3,8,2,2
333,0,0,2,0,0,2,0,1,1,1,1,2,1,2,11,3,1
334,0,0,2,0,1,6,0,1,2,2,1,2,1,6,11,3,1
335,5,0,3,0,0,6,3,1,1,4,1,2,5,8,4,0,4
336,4,0,1,0,1,2,0,1,1,3,1,9,7,3,7,0,4
337,4,0,3,0,1,6,3,1,1,4,1,2,5,2,11,0,4
338,0,0,2,0,0,2,1,1,1,1,1,2,1,3,9,3,2
339,5,0,1,0,0,4,3,1,1,3,1,2,5,9,12,0,4
340,4,0,2,0,1,6,1,1,1,3,1,9,5,9,5,0,4
341,4,0,1,0,0,1,0,0,1,2,1,2,6,3,9,0,2
342,3,0,2,0,0,3,0,1,1,1,1,2,2,3,7,3,1
343,2,0,2,0,0,5,1,1,1,1,1,9,1,5,5,3,3
344,1,0,5,0,1,3,2,1,1,1,1,2,1,4,8,3,2
345,5,0,1,0,1,7,4,1,1,1,1,2,5,4,8,0,2
346,2,0,1,0,0,7,4,1,1,2,1,2,5,9,11,0,4
347,1,0,2,0,1,5,1,1,1,4,1,2,8,5,3,0,3
348,5,0,3,0,0,4,0,1,1,1,1,8,7,1,4,3,1
349,5,0,1,0,1,4,3,1,1,1,1,2,1,4,7,3,4
350,3,0,5,0,0,2,0,0,2,2,3,6,6,1,8,0,2
351,5,0,2,0,1,2,0,1,1,2,1,1,1,0,0,3,4
352,4,0,2,0,0,2,1,1,1,2,1,1,1,9,6,1,4
353,0,0,5,0,0,0,0,0,2,1,3,6,0,0,0,0,0
354,5,0,0,0,0,1,0,1,1,2,1,1,1,6,8,3,3
355,4,0,5,0,1,2,0,1,1,1,1,1,1,9,4,3,4
356,2,0,2,0,1,4,1,1,1,2,1,1,2,4,12,2,2
357,1,0,2,0,0,0,0,0,1,1,1,2,0,0,0,0,0
358,0,0,2,0,1,2,0,1,1,2,1,2,1,2,11,1,1
359,5,0,2,0,1,4,1,1,1,3,1,2,1,5,5,3,3
360,3,0,2,0,1,0,0,0,2,3,3,6,0,0,0,0,0
361,3,0,2,0,1,1,0,0,1,1,1,2,6,3,7,0,2
362,0,0,2,0,0,6,1,1,1,3,1,2,5,8,2,0,4
363,1,0,4,0,0,4,0,1,1,2,1,1,1,2,11,3,1
364,3,0,1,0,0,0,0,0,2,1,3,6,0,0,0,0,0
365,2,0,3,0,0,0,0,0,1,1,1,1,0,0,0,0,0
366,0,0,3,0,0,0,0,0,1,1,1,2,0,0,0,0,0
367,0,0,3,0,0,3,0,1,1,5,1,1,2,5,2,2,3
368,2,0,3,0,1,0,0,0,1,2,1,1,0,0,4,0,0
369,5,0,2,0,1,4,1,1,1,1,1,1,1,6,11,3,3
370,5,0,2,0,0,4,1,1,1,2,1,1,1,9,2,3,2
371,3,0,4,0,0,6,4,1,1,4,1,2,5,5,4,0,4
372,3,0,2,0,1,5,1,1,2,1,3,2,1,9,5,4,4
373,2,0,5,0,0,3,0,1,1,1,1,2,2,9,3,2,3
374,3,0,2,0,1,3,1,1,1,1,1,2,1,2,6,3,2
375,4,0,5,0,1,1,0,1,1,1,1,9,1,2,9,3,1
376,3,0,2,0,0,6,1,1,1,2,1,2,5,8,6,0,2
377,2,0,2,0,0,3,1,1,1,1,1,2,1,3,2,3,1
378,5,0,2,0,0,1,0,1,1,2,1,2,5,0,0,0,3
379,2,0,3,0,1,4,3,1,1,1,1,2,1,9,6,3,4
380,5,0,1,0,0,1,0,1,1,1,1,2,1,4,12,1,2
381,5,0,5,0,1,2,0,1,1,1,1,2,1,2,10,3,1
382,2,0,2,0,0,1,0,1,1,2,2,2,1,1,9,3,2
